zmiana,data,ognisko_typ,liczba
1,2020-10-10,szpitalem,13
1,2020-10-10,szkołą i kościołem,84
1,2020-10-10,szpitalem rehabilitacyjnym,79
1,2020-10-10,zakładem pracy,6
1,2020-10-10,terapią,4
1,2020-10-10,zakładem pracy,3
1,2020-10-10,zakładem opiekuńczo,35
1,2020-10-10,zakładem pracy,21
1,2020-10-10,zakładem pracy,13
1,2020-10-10,szpitalem,20
1,2020-10-10,szkołą i przedszkolem,18
1,2020-10-10,szpitalem,4
1,2020-10-10,przedszkolem,11
1,2020-10-10,szkołą,11
1,2020-10-10,wycieczką,33
1,2020-10-10,szkołą,8
1,2020-10-10,szkołą,3
1,2020-10-10,szkołą,7
1,2020-10-10,szpitalem,12
1,2020-10-10,zakładem pracy,3
1,2020-10-10,zakładem pracy,5
1,2020-10-10,zespołem szkół,3
1,2020-10-10,zespołem szkół,7
1,2020-10-10,szkołą,2
1,2020-10-10,zakładem pracy,15
1,2020-10-10,szkołą,4
1,2020-10-10,weselem i przedszkolem,12
1,2020-10-10,zakładem pracy,5
1,2020-10-10,szkołą,8
1,2020-10-10,szpitalem,3
1,2020-10-10,zakładem pracy w gdyni,10
1,2020-10-10,zakładem pracy w gdyni,3
1,2020-10-10,przychodnią,3
1,2020-10-10,przedszkolem,4
1,2020-10-10,domem pomocy społecznej,34
1,2020-10-10,zakładem pracy,3
1,2020-10-10,wycieczką,16
1,2020-10-10,szpitalem,5
1,2020-10-10,zakładem pracy,6
1,2020-10-10,zakładem pracy,16
1,2020-10-10,szpitalem,6
1,2020-10-10,2 zakładami pracy,15
1,2020-10-10,szkołą,10
1,2020-10-10,wycieczką,75
1,2020-10-10,zakładem pracy,9
1,2020-10-10,szkołą,5
1,2020-10-10,zespołem kształcenia,22
1,2020-10-10,szkołą,5
1,2020-10-10,szpitalem,70
1,2020-10-10,domem pomocy społecznej,21
1,2020-10-10,przedszkolem,7
1,2020-10-10,zakładem pracy,3
1,2020-10-10,przedszkolem,4
1,2020-10-10,domem pomocy społecznej,89
1,2020-10-10,szpitalem,54
1,2020-10-10,specjalnym ośrodkiem szkolno,7
1,2020-10-10,podmiotem leczniczym,3
1,2020-10-10,przedszkolem,4
1,2020-10-10,szkołą,10
1,2020-10-10,zakładem pracy,8
1,2020-10-10,zakładem opiekuńczo,24
1,2020-10-10,zakładem pracy,3
1,2020-10-10,ośrodkiem pomocy,9
1,2020-10-10,żłobkiem i przedszkolem,2
1,2020-10-10,szkołą,6
1,2020-10-10,domem pomocy społecznej,2
1,2020-10-10,zakładem pracy,10
1,2020-10-10,hospicjum,4
1,2020-10-10,przychodnią,5
1,2020-10-10,domem pomocy społecznej,14
1,2020-10-10,drużyną sportow,8
1,2020-10-10,zakładem pracy,20
1,2020-10-10,zakładem pracy,2
1,2020-10-10,zakładem pracy,2
1,2020-10-10,szkołą,2
1,2020-10-10,zakładem pracy,4
1,2020-10-10,domem pomocy,12
1,2020-10-10,zakładem pracy,3
1,2020-10-10,zakładem pracy,7
1,2020-10-10,szkołą,11
1,2020-10-10,szpitalem,7
1,2020-10-10,szpitalem,6
1,2020-10-10,zakładem pracy,10
1,2020-10-10,domem opieki,4
1,2020-10-10,zakładem pracy,10
1,2020-10-10,zakładem pracy,4
1,2020-10-10,szkołą,6
1,2020-10-10,szpitalem,10
1,2020-10-10,szkołą,2
1,2020-10-10,domem opieki,6
1,2020-10-10,szkołą,2
1,2020-10-10,szpitalem,16
1,2020-10-10,zakładem pracy,3
1,2020-10-10,zakładem pracy,4
1,2020-10-10,zakładem pracy,2
1,2020-10-10,zakładem pracy,5
1,2020-10-10,zakładem pracy,2
1,2020-10-10,szkołą,5
1,2020-10-10,przedszkolem,4
1,2020-10-10,szpitalem,7
1,2020-10-10,przedszkolem,4
1,2020-10-10,zakładem pracy,3
1,2020-10-10,szpitalem,2
1,2020-10-10,przychodnią,2
1,2020-10-10,stacją dializ,2
1,2020-10-10,przychodnią,5
1,2020-10-10,zakładem prac,2
1,2020-10-10,zo,2
1,2020-10-10,zakładem prac,2
1,2020-10-10,zakładem prac,2
1,2020-10-10,drużyną sportow,2
1,2020-10-10,zo,2
1,2020-10-10,szkoł,7
1,2020-10-10,zakładem prac,2
1,2020-10-10,seminarium duchowny,18
1,2020-10-10,domem dzieck,2
1,2020-10-10,szkoł,2
1,2020-10-09,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-09,dps,91
1,2020-10-09,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-09,szpitalem,13
1,2020-10-09,szkołą i kościołem,84
1,2020-10-09,szpitalem rehabilitacyjnym,79
1,2020-10-09,zakładem pracy,6
1,2020-10-09,terapią,4
1,2020-10-09,zakładem pracy,3
1,2020-10-09,zakładem opiekuńczo,35
1,2020-10-09,zakładem pracy,21
1,2020-10-09,zakładem pracy,13
1,2020-10-09,szpitalem,20
1,2020-10-09,szkołą i przedszkolem,18
1,2020-10-09,szpitalem,4
1,2020-10-09,przedszkolem,11
1,2020-10-09,szkołą,11
1,2020-10-09,wycieczką,33
1,2020-10-09,szkołą,8
1,2020-10-09,szkołą,3
1,2020-10-09,szkołą,7
1,2020-10-09,szpitalem,12
1,2020-10-09,zakładem pracy,3
1,2020-10-09,zakładem pracy,5
1,2020-10-09,zespołem szkół,3
1,2020-10-09,zespołem szkół,7
1,2020-10-09,szkołą,2
1,2020-10-09,zakładem pracy,15
1,2020-10-09,szkołą,4
1,2020-10-09,weselem i przedszkolem,12
1,2020-10-09,zakładem pracy,5
1,2020-10-09,szkołą,8
1,2020-10-09,szpitalem,3
1,2020-10-09,zakładem pracy w gdyni,10
1,2020-10-09,zakładem pracy w gdyni,3
1,2020-10-09,przychodnią,3
1,2020-10-09,przedszkolem,4
1,2020-10-09,domem pomocy społecznej,32
1,2020-10-09,zakładem pracy,3
1,2020-10-09,wycieczką,15
1,2020-10-09,szpitalem,5
1,2020-10-09,zakładem pracy,6
1,2020-10-09,zakładem pracy,15
1,2020-10-09,szpitalem,6
1,2020-10-09,2 zakładami pracy,15
1,2020-10-09,szkołą,10
1,2020-10-09,wycieczką,75
1,2020-10-09,zakładem pracy,9
1,2020-10-09,szkołą,5
1,2020-10-09,zespołem kształcenia,22
1,2020-10-09,szkołą,5
1,2020-10-09,szpitalem,67
1,2020-10-09,domem pomocy społecznej,21
1,2020-10-09,przedszkolem,7
1,2020-10-09,zakładem pracy,3
1,2020-10-09,przedszkolem,4
1,2020-10-09,domem pomocy społecznej,82
1,2020-10-09,szpitalem,50
1,2020-10-09,specjalnym ośrodkiem szkolno,7
1,2020-10-09,podmiotem leczniczym,3
1,2020-10-09,przedszkolem,4
1,2020-10-09,szkołą,10
1,2020-10-09,zakładem pracy,8
1,2020-10-09,zakładem opiekuńczo,24
1,2020-10-09,zakładem pracy,3
1,2020-10-09,ośrodkiem pomocy,9
1,2020-10-09,żłobkiem i przedszkolem,2
1,2020-10-09,szkołą,5
1,2020-10-09,domem pomocy społecznej,2
1,2020-10-09,zakładem pracy,10
1,2020-10-09,hospicjum,4
1,2020-10-09,przychodnią,5
1,2020-10-09,domem pomocy społecznej,12
1,2020-10-09,drużyną sportow,8
1,2020-10-09,zakładem pracy,16
1,2020-10-09,zakładem pracy,2
1,2020-10-09,zakładem pracy,2
1,2020-10-09,szkołą,2
1,2020-10-09,zakładem pracy,4
1,2020-10-09,domem pomocy,11
1,2020-10-09,zakładem pracy,3
1,2020-10-09,zakładem pracy,4
1,2020-10-09,szkołą,11
1,2020-10-09,szpitalem,7
1,2020-10-09,szpitalem,6
1,2020-10-09,zakładem pracy,9
1,2020-10-09,domem opieki,4
1,2020-10-09,zakładem pracy,9
1,2020-10-09,zakładem pracy,4
1,2020-10-09,szkołą,6
1,2020-10-09,szpitalem,10
1,2020-10-09,szkołą,2
1,2020-10-09,domem opieki,6
1,2020-10-09,szkołą,2
1,2020-10-09,szpitalem,15
1,2020-10-09,zakładem pracy,3
1,2020-10-09,zakładem pracy,4
1,2020-10-09,zakładem pracy,2
1,2020-10-09,zakładem pracy,5
1,2020-10-09,zakładem pracy,2
1,2020-10-09,szkołą,5
1,2020-10-09,przedszkolem,4
1,2020-10-09,szpitalem,5
1,2020-10-09,przedszkolem,3
1,2020-10-09,zakładem pracy,3
1,2020-10-09,szpitalem,2
1,2020-10-09,przychodnią,2
1,2020-10-09,stacją dializ,2
1,2020-10-09,przychodnią,4
1,2020-10-08,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-08,dps,91
1,2020-10-08,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-08,szpitalem,13
1,2020-10-08,szkołą i kościołem,84
1,2020-10-08,szpitalem rehabilitacyjnym,79
1,2020-10-08,zakładem pracy,6
1,2020-10-08,terapią,4
1,2020-10-08,zakładem pracy,3
1,2020-10-08,zakładem opiekuńczo,35
1,2020-10-08,zakładem pracy,21
1,2020-10-08,zakładem pracy,13
1,2020-10-08,szpitalem,20
1,2020-10-08,szkołą i przedszkolem,18
1,2020-10-08,szpitalem,4
1,2020-10-08,przedszkolem,11
1,2020-10-08,szkołą,11
1,2020-10-08,wycieczką,33
1,2020-10-08,szkołą,8
1,2020-10-08,szkołą,3
1,2020-10-08,szkołą,7
1,2020-10-08,szpitalem,12
1,2020-10-08,zakładem pracy,3
1,2020-10-08,zakładem pracy,5
1,2020-10-08,zespołem szkół,3
1,2020-10-08,zespołem szkół,7
1,2020-10-08,szkołą,2
1,2020-10-08,zakładem pracy,15
1,2020-10-08,szkołą,4
1,2020-10-08,weselem i przedszkolem,12
1,2020-10-08,zakładem pracy,5
1,2020-10-08,szkołą,8
1,2020-10-08,szpitalem,3
1,2020-10-08,zakładem pracy w gdyni,10
1,2020-10-08,zakładem pracy w gdyni,3
1,2020-10-08,przychodnią,3
1,2020-10-08,przedszkolem,4
1,2020-10-08,domem pomocy społecznej,32
1,2020-10-08,zakładem pracy,3
1,2020-10-08,wycieczką,14
1,2020-10-08,szpitalem,5
1,2020-10-08,zakładem pracy,6
1,2020-10-08,zakładem pracy,14
1,2020-10-08,szpitalem,6
1,2020-10-08,2 zakładami pracy,15
1,2020-10-08,szkołą,10
1,2020-10-08,wycieczką,75
1,2020-10-08,zakładem pracy,9
1,2020-10-08,szkołą,5
1,2020-10-08,zespołem kształcenia,22
1,2020-10-08,szkołą,5
1,2020-10-08,szpitalem,67
1,2020-10-08,domem pomocy społecznej,19
1,2020-10-08,przedszkolem,7
1,2020-10-08,zakładem pracy,3
1,2020-10-08,przedszkolem,4
1,2020-10-08,domem pomocy społecznej,14
1,2020-10-08,szpitalem,45
1,2020-10-08,specjalnym ośrodkiem szkolno,7
1,2020-10-08,podmiotem leczniczym,3
1,2020-10-08,przedszkolem,4
1,2020-10-08,szkołą,10
1,2020-10-08,zakładem pracy,8
1,2020-10-08,zakładem opiekuńczo,24
1,2020-10-08,zakładem pracy,3
1,2020-10-08,ośrodkiem pomocy,9
1,2020-10-08,żłobkiem i przedszkolem,2
1,2020-10-08,szkołą,5
1,2020-10-08,domem pomocy społecznej,2
1,2020-10-08,zakładem pracy,9
1,2020-10-08,hospicjum,4
1,2020-10-08,przychodnią,5
1,2020-10-08,domem pomocy społecznej,9
1,2020-10-08,drużyną sportow,8
1,2020-10-08,zakładem pracy,15
1,2020-10-08,zakładem pracy,2
1,2020-10-08,zakładem pracy,2
1,2020-10-08,szkołą,2
1,2020-10-08,zakładem pracy,4
1,2020-10-08,domem pomocy,3
1,2020-10-08,zakładem pracy,3
1,2020-10-08,zakładem pracy,4
1,2020-10-08,szkołą,9
1,2020-10-08,szpitalem,7
1,2020-10-08,szpitalem,6
1,2020-10-08,zakładem pracy,9
1,2020-10-08,domem opieki,4
1,2020-10-08,zakładem pracy,8
1,2020-10-08,zakładem pracy,4
1,2020-10-08,szkołą,6
1,2020-10-08,szpitalem,5
1,2020-10-08,szkołą,2
1,2020-10-08,domem opieki,5
1,2020-10-08,szkołą,2
1,2020-10-08,szpitalem,15
1,2020-10-08,zakładem pracy,3
1,2020-10-08,zakładem pracy,4
1,2020-10-08,zakładem pracy,2
1,2020-10-07,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-07,dps,91
1,2020-10-07,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-07,szpitalem,13
1,2020-10-07,ognisko rodzinne związane z liceum w pucku,5
1,2020-10-07,szkołą podstawową i przedszkolem,3
1,2020-10-07,szkołą i kościołem,84
1,2020-10-07,szpitalem rehabilitacyjnym,79
1,2020-10-07,zakładem pracy,6
1,2020-10-07,terapią,4
1,2020-10-07,zakładem pracy,3
1,2020-10-07,zakładem opiekuńczo,34
1,2020-10-07,zakładem pracy,21
1,2020-10-07,zakładem pracy,13
1,2020-10-07,szpitalem,20
1,2020-10-07,szkołą i przedszkolem,18
1,2020-10-07,szpitalem,4
1,2020-10-07,przedszkolem,11
1,2020-10-07,szkołą,11
1,2020-10-07,wycieczką,33
1,2020-10-07,szkołą,8
1,2020-10-07,szkołą,3
1,2020-10-07,szkołą,7
1,2020-10-07,szpitalem,12
1,2020-10-07,zakładem pracy,3
1,2020-10-07,zakładem pracy,5
1,2020-10-07,zespołem szkół,3
1,2020-10-07,zespołem szkół,7
1,2020-10-07,szkołą,2
1,2020-10-07,zakładem pracy,15
1,2020-10-07,szkołą,4
1,2020-10-07,weselem i przedszkolem,12
1,2020-10-07,zakładem pracy,5
1,2020-10-07,szkołą,8
1,2020-10-07,szpitalem,3
1,2020-10-07,zakładem pracy w gdyni,10
1,2020-10-07,zakładem pracy w gdyni,3
1,2020-10-07,przychodnią,3
1,2020-10-07,przedszkolem,4
1,2020-10-07,domem pomocy społecznej,31
1,2020-10-07,zakładem pracy,3
1,2020-10-07,wycieczką,14
1,2020-10-07,szpitalem,5
1,2020-10-07,zakładem pracy,6
1,2020-10-07,zakładem pracy,14
1,2020-10-07,szpitalem,6
1,2020-10-07,2 zakładami pracy,15
1,2020-10-07,szkołą,10
1,2020-10-07,wycieczką,75
1,2020-10-07,zakładem pracy,9
1,2020-10-07,szkołą,5
1,2020-10-07,zespołem kształcenia,22
1,2020-10-07,szkołą,5
1,2020-10-07,szpitalem,66
1,2020-10-07,domem pomocy społecznej,19
1,2020-10-07,przedszkolem,7
1,2020-10-07,zakładem pracy,3
1,2020-10-07,przedszkolem,4
1,2020-10-07,domem pomocy społecznej,14
1,2020-10-07,szpitalem,32
1,2020-10-07,specjalnym ośrodkiem szkolno,7
1,2020-10-07,podmiotem leczniczym,3
1,2020-10-07,przedszkolem,4
1,2020-10-07,szkołą,10
1,2020-10-07,zakładem pracy,8
1,2020-10-07,zakładem opiekuńczo,24
1,2020-10-07,zakładem pracy,3
1,2020-10-07,ośrodkiem pomocy,9
1,2020-10-07,żłobkiem i przedszkolem,2
1,2020-10-07,szkołą,5
1,2020-10-07,domem pomocy społecznej,2
1,2020-10-07,zakładem pracy,9
1,2020-10-07,hospicjum,4
1,2020-10-07,przychodnią,5
1,2020-10-07,domem pomocy społecznej,8
1,2020-10-07,drużyną sportow,8
1,2020-10-07,zakładem pracy,14
1,2020-10-07,zakładem pracy,2
1,2020-10-07,zakładem pracy,2
1,2020-10-07,szkołą,2
1,2020-10-07,zakładem pracy,4
1,2020-10-07,domem pomocy,3
1,2020-10-07,zakładem pracy,3
1,2020-10-07,zakładem pracy,3
1,2020-10-07,szkołą,9
1,2020-10-07,szpitalem,7
1,2020-10-07,szpitalem,5
1,2020-10-07,zakładem pracy,7
1,2020-10-07,domem opieki,4
1,2020-10-07,zakładem pracy,6
1,2020-10-07,zakładem pracy,4
1,2020-10-07,szkołą,2
1,2020-10-07,szpitalem,5
1,2020-10-07,szkołą,2
1,2020-10-07,domem opieki,5
1,2020-10-07,szkołą,2
1,2020-10-07,szpitalem,8
1,2020-10-07,zakładem pracy,3
1,2020-10-07,zakładem pracy,4
1,2020-10-06,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-06,dps,91
1,2020-10-06,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-06,szpitalem,13
1,2020-10-06,ognisko rodzinne związane z liceum w pucku,5
1,2020-10-06,szkołą podstawową i przedszkolem,3
1,2020-10-06,szkołą i kościołem,84
1,2020-10-06,szpitalem rehabilitacyjnym,78
1,2020-10-06,zakładem pracy,6
1,2020-10-06,terapią,4
1,2020-10-06,zakładem pracy,3
1,2020-10-06,zakładem opiekuńczo,34
1,2020-10-06,zakładem pracy,21
1,2020-10-06,zakładem pracy,13
1,2020-10-06,szpitalem,20
1,2020-10-06,szkołą i przedszkolem,18
1,2020-10-06,szpitalem,4
1,2020-10-06,przedszkolem,11
1,2020-10-06,szkołą,11
1,2020-10-06,wycieczką,33
1,2020-10-06,szkołą,8
1,2020-10-06,szkołą,3
1,2020-10-06,szkołą,7
1,2020-10-06,szpitalem,12
1,2020-10-06,zakładem pracy,3
1,2020-10-06,zakładem pracy,5
1,2020-10-06,zespołem szkół,3
1,2020-10-06,zespołem szkół,7
1,2020-10-06,szkołą,2
1,2020-10-06,zakładem pracy,15
1,2020-10-06,szkołą,4
1,2020-10-06,weselem i przedszkolem,12
1,2020-10-06,zakładem pracy,5
1,2020-10-06,szkołą,8
1,2020-10-06,szpitalem,3
1,2020-10-06,zakładem pracy w gdyni,10
1,2020-10-06,zakładem pracy w gdyni,3
1,2020-10-06,przychodnią,3
1,2020-10-06,przedszkolem,4
1,2020-10-06,domem pomocy społecznej,31
1,2020-10-06,zakładem pracy,3
1,2020-10-06,wycieczką,14
1,2020-10-06,szpitalem,5
1,2020-10-06,zakładem pracy,6
1,2020-10-06,zakładem pracy,12
1,2020-10-06,szpitalem,6
1,2020-10-06,2 zakładami pracy,15
1,2020-10-06,szkołą,10
1,2020-10-06,wycieczką,74
1,2020-10-06,zakładem pracy,9
1,2020-10-06,szkołą,5
1,2020-10-06,zespołem kształcenia,22
1,2020-10-06,szkołą,5
1,2020-10-06,szpitalem,61
1,2020-10-06,domem pomocy społecznej,19
1,2020-10-06,przedszkolem,7
1,2020-10-06,zakładem pracy,3
1,2020-10-06,przedszkolem,4
1,2020-10-06,domem pomocy społecznej,14
1,2020-10-06,szpitalem,27
1,2020-10-06,specjalnym ośrodkiem szkolno,7
1,2020-10-06,podmiotem leczniczym,3
1,2020-10-06,przedszkolem,4
1,2020-10-06,szkołą,10
1,2020-10-06,zakładem pracy,7
1,2020-10-06,zakładem opiekuńczo,23
1,2020-10-06,zakładem pracy,3
1,2020-10-06,ośrodkiem pomocy,9
1,2020-10-06,żłobkiem i przedszkolem,2
1,2020-10-06,szkołą,5
1,2020-10-06,domem pomocy społecznej,2
1,2020-10-06,zakładem pracy,6
1,2020-10-06,hospicjum,4
1,2020-10-06,przychodnią,5
1,2020-10-06,domem pomocy społecznej,8
1,2020-10-06,drużyną sportow,8
1,2020-10-06,zakładem pracy,12
1,2020-10-06,zakładem pracy,2
1,2020-10-06,zakładem pracy,2
1,2020-10-06,szkołą,2
1,2020-10-06,zakładem pracy,3
1,2020-10-06,domem pomocy,3
1,2020-10-06,zakładem pracy,3
1,2020-10-06,zakładem pracy,3
1,2020-10-06,szkołą,8
1,2020-10-06,szpitalem,5
1,2020-10-06,szpitalem,5
1,2020-10-06,zakładem pracy,7
1,2020-10-06,domem opieki,3
1,2020-10-06,zakładem pracy,6
1,2020-10-06,zakładem pracy,4
1,2020-10-06,szkołą,2
1,2020-10-06,szpitalem,2
1,2020-10-06,szkołą,2
1,2020-10-06,domem opieki,2
1,2020-10-06,szkołą,2
1,2020-10-05,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-05,dps,91
1,2020-10-05,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-05,szpitalem,13
1,2020-10-05,ognisko rodzinne związane z liceum w pucku,5
1,2020-10-05,szkołą podstawową i przedszkolem,3
1,2020-10-05,szkołą i kościołem,84
1,2020-10-05,szpitalem rehabilitacyjnym,71
1,2020-10-05,zakładem pracy,6
1,2020-10-05,terapią,4
1,2020-10-05,zakładem pracy,3
1,2020-10-05,zakładem opiekuńczo,34
1,2020-10-05,zakładem pracy,21
1,2020-10-05,zakładem pracy,13
1,2020-10-05,szpitalem,20
1,2020-10-05,szkołą i przedszkolem,18
1,2020-10-05,szpitalem,4
1,2020-10-05,przedszkolem,11
1,2020-10-05,szkołą,11
1,2020-10-05,wycieczką,33
1,2020-10-05,szkołą,7
1,2020-10-05,szkołą,3
1,2020-10-05,szkołą,7
1,2020-10-05,szpitalem,12
1,2020-10-05,zakładem pracy,3
1,2020-10-05,zakładem pracy,5
1,2020-10-05,zespołem szkół,3
1,2020-10-05,zespołem szkół,7
1,2020-10-05,szkołą,2
1,2020-10-05,zakładem pracy,15
1,2020-10-05,szkołą,4
1,2020-10-05,weselem i przedszkolem,12
1,2020-10-05,zakładem pracy,5
1,2020-10-05,szkołą,8
1,2020-10-05,szpitalem,3
1,2020-10-05,zakładem pracy w gdyni,10
1,2020-10-05,zakładem pracy w gdyni,3
1,2020-10-05,przychodnią,3
1,2020-10-05,przedszkolem,4
1,2020-10-05,domem pomocy społecznej,31
1,2020-10-05,zakładem pracy,3
1,2020-10-05,wycieczką,14
1,2020-10-05,szpitalem,4
1,2020-10-05,zakładem pracy,6
1,2020-10-05,zakładem pracy,9
1,2020-10-05,szpitalem,6
1,2020-10-05,2 zakładami pracy,15
1,2020-10-05,szkołą,10
1,2020-10-05,wycieczką,74
1,2020-10-05,zakładem pracy,9
1,2020-10-05,szkołą,5
1,2020-10-05,zespołem kształcenia,22
1,2020-10-05,szkołą,5
1,2020-10-05,szpitalem,57
1,2020-10-05,domem pomocy społecznej,19
1,2020-10-05,przedszkolem,6
1,2020-10-05,zakładem pracy,3
1,2020-10-05,przedszkolem,4
1,2020-10-05,domem pomocy społecznej,14
1,2020-10-05,szpitalem,25
1,2020-10-05,specjalnym ośrodkiem szkolno,7
1,2020-10-05,podmiotem leczniczym,3
1,2020-10-05,przedszkolem,4
1,2020-10-05,szkołą,8
1,2020-10-05,zakładem pracy,7
1,2020-10-05,zakładem opiekuńczo,23
1,2020-10-05,zakładem pracy,3
1,2020-10-05,ośrodkiem pomocy,8
1,2020-10-05,żłobkiem i przedszkolem,2
1,2020-10-05,szkołą,5
1,2020-10-05,domem pomocy społecznej,2
1,2020-10-05,zakładem pracy,6
1,2020-10-05,hospicjum,4
1,2020-10-05,przychodnią,5
1,2020-10-05,domem pomocy społecznej,3
1,2020-10-05,drużyną sportow,8
1,2020-10-05,zakładem pracy,10
1,2020-10-05,zakładem pracy,2
1,2020-10-05,zakładem pracy,2
1,2020-10-05,szkołą,2
1,2020-10-05,zakładem pracy,3
1,2020-10-05,domem pomocy,3
1,2020-10-05,zakładem pracy,3
1,2020-10-05,zakładem pracy,3
1,2020-10-05,szkołą,6
1,2020-10-05,szpitalem,5
1,2020-10-05,szpitalem,5
1,2020-10-05,zakładem pracy,8
1,2020-10-05,domem opieki,3
1,2020-10-05,zakładem pracy,2
1,2020-10-05,zakładem pracy,4
1,2020-10-05,szkołą,2
1,2020-10-04,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-04,dps,91
1,2020-10-04,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-04,szpitalem,13
1,2020-10-04,ognisko rodzinne związane z liceum w pucku,5
1,2020-10-04,szkołą podstawową i przedszkolem,3
1,2020-10-04,szkołą i kościołem,84
1,2020-10-04,szpitalem rehabilitacyjnym,71
1,2020-10-04,zakładem pracy,6
1,2020-10-04,terapią,4
1,2020-10-04,zakładem pracy,3
1,2020-10-04,zakładem opiekuńczo,34
1,2020-10-04,zakładem pracy,21
1,2020-10-04,zakładem pracy,13
1,2020-10-04,szpitalem,20
1,2020-10-04,szkołą i przedszkolem,16
1,2020-10-04,szpitalem,4
1,2020-10-04,przedszkolem,11
1,2020-10-04,szkołą,11
1,2020-10-04,wycieczką,33
1,2020-10-04,szkołą,7
1,2020-10-04,szkołą,3
1,2020-10-04,szkołą,7
1,2020-10-04,szpitalem,12
1,2020-10-04,zakładem pracy,3
1,2020-10-04,zakładem pracy,5
1,2020-10-04,zespołem szkół,3
1,2020-10-04,zespołem szkół,7
1,2020-10-04,szkołą,2
1,2020-10-04,zakładem pracy,12
1,2020-10-04,szkołą,4
1,2020-10-04,weselem i przedszkolem,12
1,2020-10-04,zakładem pracy,5
1,2020-10-04,szkołą,8
1,2020-10-04,szpitalem,3
1,2020-10-04,zakładem pracy w gdyni,10
1,2020-10-04,zakładem pracy w gdyni,3
1,2020-10-04,przychodnią,3
1,2020-10-04,przedszkolem,4
1,2020-10-04,domem pomocy społecznej,31
1,2020-10-04,zakładem pracy,3
1,2020-10-04,wycieczką,14
1,2020-10-04,szpitalem,4
1,2020-10-04,zakładem pracy,6
1,2020-10-04,zakładem pracy,9
1,2020-10-04,szpitalem,6
1,2020-10-04,2 zakładami pracy,15
1,2020-10-04,szkołą,10
1,2020-10-04,wycieczką,70
1,2020-10-04,zakładem pracy,9
1,2020-10-04,szkołą,5
1,2020-10-04,zespołem kształcenia,22
1,2020-10-04,szkołą,5
1,2020-10-04,szpitalem,54
1,2020-10-04,domem pomocy społecznej,19
1,2020-10-04,przedszkolem,6
1,2020-10-04,zakładem pracy,3
1,2020-10-04,przedszkolem,4
1,2020-10-04,domem pomocy społecznej,14
1,2020-10-04,szpitalem,21
1,2020-10-04,specjalnym ośrodkiem szkolno,7
1,2020-10-04,podmiotem leczniczym,3
1,2020-10-04,przedszkolem,4
1,2020-10-04,szkołą,4
1,2020-10-04,zakładem pracy,7
1,2020-10-04,zakładem opiekuńczo,23
1,2020-10-04,zakładem pracy,3
1,2020-10-04,ośrodkiem pomocy,4
1,2020-10-04,żłobkiem i przedszkolem,2
1,2020-10-04,szkołą,5
1,2020-10-04,domem pomocy społecznej,2
1,2020-10-04,zakładem pracy,6
1,2020-10-04,hospicjum,3
1,2020-10-04,przychodnią,5
1,2020-10-04,domem pomocy społecznej,3
1,2020-10-04,drużyną sportow,8
1,2020-10-04,zakładem pracy,7
1,2020-10-04,zakładem pracy,2
1,2020-10-04,zakładem pracy,2
1,2020-10-04,szkołą,2
1,2020-10-04,zakładem pracy,3
1,2020-10-04,domem pomocy,2
1,2020-10-04,zakładem pracy,3
1,2020-10-04,zakładem pracy,3
1,2020-10-04,szkołą,10
1,2020-10-04,szpitalem,5
1,2020-10-04,szpitalem,3
1,2020-10-03,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-03,dps,91
1,2020-10-03,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-03,szpitalem,13
1,2020-10-03,ognisko rodzinne związane z liceum w pucku,5
1,2020-10-03,szkołą podstawową i przedszkolem,3
1,2020-10-03,szkołą i kościołem,84
1,2020-10-03,szpitalem rehabilitacyjnym,71
1,2020-10-03,zakładem pracy,6
1,2020-10-03,terapią,4
1,2020-10-03,zakładem pracy,3
1,2020-10-03,zakładem opiekuńczo,34
1,2020-10-03,zakładem pracy,21
1,2020-10-03,zakładem pracy,13
1,2020-10-03,szpitalem,20
1,2020-10-03,szkołą i przedszkolem,16
1,2020-10-03,szpitalem,4
1,2020-10-03,przedszkolem,11
1,2020-10-03,szkołą,11
1,2020-10-03,wycieczką,33
1,2020-10-03,szkołą,7
1,2020-10-03,szkołą,3
1,2020-10-03,szkołą,7
1,2020-10-03,szpitalem,11
1,2020-10-03,zakładem pracy,3
1,2020-10-03,zakładem pracy,5
